"Country","Total_Cases","New_Cases","Total_Deaths","New_Deaths","Total_Recovered","Active_Cases","Serious","Tot_Cases","Deaths","Total_Tests","Tests","CASES_per_Test","Death_in_Closed_Cases","Rank_by_Testing_rate","Rank_by_Death_rate","Rank_by_Cases_rate","Rank_by_Death_of_Closed_Cases","TOP_DEATH","TOP_TEST"
"Afghanistan","37,856.00","257","35","10","27,681.00","8,790.00","31","970","35","2,565.00","2,565.00","39,043,064","4.77%","180","92","120","62","81","180","Afghanistan"
"Albania","7,967.00","155","83","4","3,986.00","3,743.00","15","2,769.00","83","17,089.00","17,089.00","2,877,351","5.63%","133","58","82","50","53","133","Albania"
"Algeria","40,258.00","411","32","9","28,281.00","10,566.00","41","916","32","0","","43,956,407","4.75%","","96","126","64","84","195","Algeria"
"Andorra","1,024.00","","686","","875","96","1","13,250.00","686","1,778,642.00","1,778,642.00","77,282","5.71%","1","4","14","49","4","1","Andorra"
"Angola","2,044.00","29","3","1","742","1,209.00","24","62","3","1,962.00","1,962.00","32,995,591","11.14%","182","169","197","20","110","182","Angola"
"Anguilla","3","","0","","3","0","","200","","44,072.00","44,072.00","15,021","","97","","181","","114","97","Anguilla"
"Antigua and Barbuda","94","","31","","89","2","1","959","31","17,727.00","17,727.00","98,041","3.26%","132","97","122","93","85","132","Antigua and Barbuda"
"Argentina","320,884.00","8,225.00","144","187","233,651.00","80,716.00","1,832.00","7,091.00","144","22,783.00","22,783.00","45,252,733","2.71%","127","40","33","113","39","127","Argentina"
"Armenia","42,319.00","263","282","3","35,476.00","6,007.00","","14,278.00","282","64,291.00","64,291.00","2,964,022","2.30%","72","21","13","130","21","72","Armenia"
"Aruba","1,387.00","91","56","1","277","1,104.00","2","12,983.00","56","165,395.00","165,395.00","106,829","2.12%","30","76","15","138","69","30","Aruba"
"Australia","24,236.00","243","18","13","17,854.00","5,919.00","51","949","18","215,645.00","215,645.00","25,540,177","2.53%","22","114","123","117","95","22","Australia"
"Austria","24,431.00","347","81","","21,093.00","2,609.00","21","2,710.00","81","117,760.00","117,760.00","9,013,539","3.34%","44","59","84","92","54","44","Austria"
"Azerbaijan","34,759.00","139","50","","32,511.00","1,738.00","","3,424.00","50","84,301.00","84,301.00","10,151,735","1.54%","59","80","74","154","72","59","Azerbaijan"
"Bahamas","1,610.00","79","58","1","211","1,376.00","61","4,089.00","58","21,457.00","21,457.00","393,759","9.83%","128","75","58","24","68","128","Bahamas"
"Bahrain","48,303.00","353","105","1","44,628.00","3,496.00","37","28,265.00","105","592,064.00","592,064.00","1,708,944","0.40%","8","51","3","188","48","8","Bahrain"
"Bangladesh","287,959.00","2,868.00","23","41","168,991.00","115,146.00","","1,746.00","23","8,535.00","8,535.00","164,914,115","2.21%","156","107","95","135","92","156","Bangladesh"
"Barbados","156","1","24","","123","26","","543","24","52,285.00","52,285.00","287,425","5.38%","85","104","146","55","91","85","Barbados"
"Belarus","69,950.00","149","66","5","67,929.00","1,394.00","","7,403.00","66","152,093.00","152,093.00","9,448,882","0.91%","33","67","32","171","62","33","Belarus"
"Belgium","79,479.00","582","860","10","18,078.00","51,432.00","83","6,854.00","860","176,773.00","176,773.00","11,596,664","35.54%","27","2","34","6","2","27","Belgium"
"Belize","605","52","13","1","38","562","3","1,518.00","13","14,030.00","14,030.00","398,588","11.63%","140","130","102","17","100","140","Belize"
"Benin","2,095.00","","3","","1,705.00","351","","172","3","8,801.00","8,801.00","12,164,164","2.24%","155","169","183","132","110","155","Benin"
"Bermuda","166","","145","","147","10","","2,667.00","145","581,621.00","581,621.00","62,245","5.77%","9","39","85","48","38","9","Bermuda"
"Bhutan","150","3","0","","105","45","","194","","86,488.00","86,488.00","772,767","","57","","182","","114","57","Bhutan"
"Bolivia","105,050.00","2,031.00","362","61","39,965.00","60,852.00","71","8,983.00","362","19,005.00","19,005.00","11,694,550","9.58%","130","16","23","25","16","130","Bolivia"
"Bosnia and Herzegovina","17,029.00","338","157","8","10,881.00","5,633.00","","5,195.00","157","51,515.00","51,515.00","3,277,873","4.52%","87","37","51","68","36","87","Bosnia and Herzegovina"
"Botswana","1,308.00","","1","","136","1,169.00","1","555","1","39,620.00","39,620.00","2,357,895","2.16%","103","177","144","136","112","103","Botswana"
"Brazil","3,505,097.00","44,684.00","528","1,234.00","2,653,407.00","739,267.00","8,318.00","16,474.00","528","64,616.00","64,616.00","212,768,400","4.06%","71","11","10","82","11","71","Brazil"
"British Virgin Islands","11","","33","","8","2","","364","33","62,461.00","62,461.00","30,259","11.11%","78","94","158","21","83","78","British Virgin Islands"
"Brunei","143","","7","","139","1","","326","7","112,769.00","112,769.00","438,054","2.11%","46","146","161","139","106","46","Brunei"
"Bulgaria","14,962.00","142","77","5","10,087.00","4,343.00","63","2,156.00","77","51,683.00","51,683.00","6,940,865","5.01%","86","61","89","59","56","86","Bulgaria"
"Burkina Faso","1,297.00","12","3","","1,034.00","208","","62","3","0","","20,976,858","5.05%","","169","197","58","110","195","Burkina Faso"
"Burundi","422","","0.08","","336","85","","35","0.08","1,675.00","1,675.00","11,935,821","0.30%","186","190","205","190","113","186","Burundi"
"CAR","4,679.00","","13","","1,755.00","2,863.00","2","967","13","6,357.00","6,357.00","4,840,968","3.36%","166","130","121","91","100","166","CAR"
"Cabo Verde","3,368.00","47","66","1","2,462.00","869","","6,049.00","66","132,720.00","132,720.00","556,812","1.48%","36","67","42","157","62","36","Cabo Verde"
"Cambodia","273","","0","","253","20","1","16","","4,993.00","4,993.00","16,750,228","","172","","210","","114","172","Cambodia"
"Cameroon","18,762.00","138","15","2","16,540.00","1,814.00","30","705","15","5,595.00","5,595.00","26,631,541","2.41%","170","125","133","128","98","170","Cameroon"
"Canada","123,873.00","383","240","5","110,288.00","4,531.00","61","3,278.00","240","131,636.00","131,636.00","37,787,666","7.59%","37","26","76","34","25","37","Canada"
"Caribbean Netherlands","13","","0","","7","6","","495","","16,149.00","16,149.00","26,256","","136","","151","","114","136","Caribbean Netherlands"
"Cayman Islands","205","","15","","202","2","","3,114.00","15","516,171.00","516,171.00","65,827","0.49%","11","125","78","187","98","11","Cayman Islands"
"Chad","972","1","5","","869","27","","59","5","0","","16,486,068","8.04%","","155","199","30","108","195","Chad"
"Channel Islands","613","","276","","545","20","","3,521.00","276","396,276.00","396,276.00","174,083","8.09%","12","23","69","29","22","12","Channel Islands"
"Chile","391,849.00","1,812.00","558","93","366,063.00","15,115.00","1,077.00","20,474.00","558","110,437.00","110,437.00","19,138,783","2.83%","48","9","5","110","9","48","Chile"
"China","84,895.00","7","3","","79,745.00","516","24","59","3","62,814.00","62,814.00","1,439,323,776","5.49%","77","169","199","52","110","77","China"
"Colombia","513,719.00","11,541.00","318","204","339,124.00","158,412.00","1,493.00","10,081.00","318","46,606.00","46,606.00","50,956,995","4.55%","91","20","21","65","20","91","Colombia"
"Comoros","417","11","8","","396","14","","478","8","0","","872,036","1.74%","","141","152","149","105","195","Comoros"
"Congo","3,850.00","","14","","1,625.00","2,148.00","","695","14","0","","5,535,717","4.52%","","128","136","67","99","195","Congo"
"Costa Rica","31,075.00","666","65","12","9,939.00","20,803.00","128","6,093.00","65","24,769.00","24,769.00","5,100,508","3.24%","121","69","41","94","63","121","Costa Rica"
"Croatia","7,329.00","255","41","","5,472.00","1,689.00","13","1,787.00","41","35,235.00","35,235.00","4,101,613","2.98%","107","86","94","103","77","107","Croatia"
"Cuba","3,565.00","83","8","","2,894.00","583","3","315","8","30,589.00","30,589.00","11,325,635","2.95%","115","141","164","106","105","115","Cuba"
"Curaçao","36","","6","","31","4","","219","6","6,578.00","6,578.00","164,187","3.13%","165","148","176","99","107","165","Curaçao"
"Cyprus","1,395.00","10","17","","878","497","5","1,154.00","17","218,392.00","218,392.00","1,208,574","2.23%","21","118","113","133","96","21","Cyprus"
"Czechia","21,045.00","247","38","2","15,886.00","4,753.00","24","1,965.00","38","76,565.00","76,565.00","10,711,777","2.49%","64","88","91","120","79","64","Czechia"
"DRC","9,757.00","16","3","1","8,895.00","615","","109","3","0","","89,906,805","2.70%","","169","190","114","110","195","DRC"
"Denmark","16,056.00","116","107","","13,769.00","1,666.00","1","2,771.00","107","358,091.00","358,091.00","5,795,057","4.32%","14","50","81","77","47","14","Denmark"
"Diamond Princess","712","","0","","651","48","4","","","0","","","1.96%","","","","142","114","195","Diamond Princess"
"Djibouti","5,374.00","","60","","5,216.00","99","","5,429.00","60","64,116.00","64,116.00","989,936","1.12%","73","72","48","166","66","73","Djibouti"
"Dominica","18","","0","","18","0","","250","","22,858.00","22,858.00","72,011","","126","","171","","114","126","Dominica"
"Dominican Republic","89,010.00","883","139","4","57,734.00","29,771.00","288","8,194.00","139","30,883.00","30,883.00","10,862,806","2.54%","114","43","28","116","42","114","Dominican Republic"
"Ecuador","105,508.00","1,033.00","351","54","87,660.00","11,648.00","331","5,968.00","351","16,821.00","16,821.00","17,679,078","6.61%","134","19","44","40","19","134","Ecuador"
"Egypt","97,025.00","111","51","15","63,462.00","28,351.00","41","946","51","1,316.00","1,316.00","102,590,466","7.59%","189","78","124","33","71","188","Egypt"
"El Salvador","23,964.00","247","99","7","11,558.00","11,766.00","391","3,692.00","99","44,418.00","44,418.00","6,490,763","5.25%","96","55","66","57","50","96","El Salvador"
"Equatorial Guinea","4,892.00","","59","","2,713.00","2,096.00","","3,473.00","59","34,935.00","34,935.00","1,408,774","2.97%","109","74","72","105","67","109","Equatorial Guinea"
"Eritrea","306","2","0","","274","32","","86","","0","","3,553,053","","","","193","","114","195","Eritrea"
